,date,state,permit,handgun,long_gun,multiple
347,2020-08-01,Kansas,1491.0,8851.0,6423.0,434
348,2020-08-01,Kentucky,2318.0,18531.0,10985.0,701
349,2020-08-01,Louisiana,1879.0,16826.0,10171.0,843
350,2020-08-01,Maine,563.0,4734.0,4555.0,242
351,2020-08-01,Mariana Islands,0.0,9.0,6.0,0
352,2020-08-01,Maryland,10133.0,8270.0,7807.0,4
353,2020-08-01,Massachusetts,12657.0,6756.0,3557.0,304
354,2020-08-01,Michigan,28773.0,35892.0,23104.0,905
355,2020-08-01,Minnesota,26910.0,17297.0,15193.0,631
356,2020-08-01,Mississippi,2773.0,15129.0,10518.0,585
357,2020-08-01,Missouri,4203.0,26351.0,17461.0,1115
358,2020-08-01,Montana,1928.0,5066.0,5441.0,255
359,2020-08-01,Nebraska,5990.0,140.0,2280.0,2
360,2020-08-01,Nevada,4578.0,9541.0,3884.0,488
361,2020-08-01,New Hampshire,1635.0,6952.0,4034.0,1
362,2020-08-01,New Jersey,0.0,10002.0,6258.0,0
363,2020-08-01,New Mexico,822.0,8580.0,5360.0,378
364,2020-08-01,New York,3065.0,10163.0,22460.0,510
365,2020-08-01,North Carolina,51670.0,2534.0,18885.0,166
366,2020-08-01,North Dakota,666.0,2503.0,3428.0,103
367,2020-08-01,Ohio,18116.0,37224.0,19937.0,1356
368,2020-08-01,Oklahoma,2784.0,15728.0,10666.0,951
369,2020-08-01,Oregon,5793.0,21080.0,12694.0,12
370,2020-08-01,Pennsylvania,36025.0,69325.0,24361.0,0
371,2020-08-01,Puerto Rico,0.0,2441.0,250.0,30
372,2020-08-01,Rhode Island,0.0,1842.0,1081.0,351
373,2020-08-01,South Carolina,11598.0,17111.0,9137.0,527
374,2020-08-01,South Dakota,824.0,3700.0,4105.0,152
375,2020-08-01,Tennessee,11438.0,35007.0,21069.0,0
376,2020-08-01,Texas,50347.0,77807.0,43770.0,2967
377,2020-08-01,Utah,20777.0,6483.0,5303.0,0
378,2020-08-01,Vermont,0.0,2128.0,1898.0,105
379,2020-08-01,Virgin Islands,37.0,22.0,2.0,0
380,2020-08-01,Virginia,900.0,36314.0,20016.0,0
381,2020-08-01,Washington,16546.0,28536.0,14497.0,32
382,2020-08-01,West Virginia,3176.0,7487.0,6958.0,345
383,2020-08-01,Wisconsin,18816.0,28102.0,15908.0,39
384,2020-08-01,Wyoming,522.0,3080.0,3188.0,128
385,2020-07-01,Alabama,48126.0,34909.0,17250.0,1170
386,2020-07-01,Alaska,69.0,4949.0,3779.0,283
387,2020-07-01,Arizona,9402.0,31040.0,12361.0,2866
388,2020-07-01,Arkansas,4292.0,12391.0,7322.0,432
389,2020-07-01,California,35097.0,67672.0,38618.0,0
390,2020-07-01,Colorado,11124.0,29171.0,15184.0,1695
391,2020-07-01,Connecticut,8500.0,6815.0,2062.0,0
392,2020-07-01,Delaware,445.0,4034.0,1840.0,142
393,2020-07-01,District of Columbia,575.0,296.0,11.0,0
394,2020-07-01,Florida,33826.0,106745.0,33102.0,3832
395,2020-07-01,Georgia,37840.0,38413.0,13344.0,3368
396,2020-07-01,Guam,0.0,227.0,85.0,19
397,2020-07-01,Hawaii,1840.0,0.0,0.0,0
398,2020-07-01,Idaho,6450.0,8813.0,6337.0,388
399,2020-07-01,Illinois,42167.0,31853.0,12250.0,1360
400,2020-07-01,Indiana,1117.0,32970.0,15066.0,1083
401,2020-07-01,Iowa,11431.0,248.0,2685.0,6
402,2020-07-01,Kansas,2125.0,10300.0,6071.0,415
403,2020-07-01,Kentucky,1481.0,20962.0,10578.0,759
404,2020-07-01,Louisiana,1932.0,24074.0,11374.0,1263
405,2020-07-01,Maine,664.0,5163.0,4049.0,257
406,2020-07-01,Mariana Islands,0.0,13.0,6.0,1
407,2020-07-01,Maryland,9374.0,7905.0,8023.0,4
408,2020-07-01,Massachusetts,13334.0,6238.0,3114.0,257
409,2020-07-01,Michigan,28959.0,44270.0,21710.0,1070
410,2020-07-01,Minnesota,27663.0,17856.0,11371.0,636
411,2020-07-01,Mississippi,3486.0,19196.0,8971.0,573
412,2020-07-01,Missouri,5289.0,31991.0,17146.0,1343
413,2020-07-01,Montana,1971.0,5472.0,4926.0,289
414,2020-07-01,Nebraska,6481.0,135.0,1929.0,4
415,2020-07-01,Nevada,3978.0,11920.0,3949.0,594
416,2020-07-01,New Hampshire,1666.0,7918.0,3788.0,1
417,2020-07-01,New Jersey,0.0,7656.0,6172.0,0
418,2020-07-01,New Mexico,195.0,10102.0,5084.0,447
419,2020-07-01,New York,3266.0,11400.0,23105.0,519
420,2020-07-01,North Carolina,54287.0,2865.0,20322.0,196
421,2020-07-01,North Dakota,606.0,2702.0,2942.0,128
422,2020-07-01,Ohio,18219.0,43645.0,18865.0,1434
423,2020-07-01,Oklahoma,2873.0,19294.0,10955.0,1164
424,2020-07-01,Oregon,5945.0,22479.0,11897.0,7
425,2020-07-01,Pennsylvania,41217.0,77854.0,22276.0,0
426,2020-07-01,Puerto Rico,0.0,2283.0,256.0,34
427,2020-07-01,Rhode Island,0.0,2079.0,1142.0,406
428,2020-07-01,South Carolina,11394.0,23255.0,8726.0,626
429,2020-07-01,South Dakota,788.0,3609.0,3222.0,164
430,2020-07-01,Tennessee,13825.0,42011.0,20831.0,0
431,2020-07-01,Texas,58415.0,96689.0,41060.0,3366
432,2020-07-01,Utah,10244.0,8314.0,5447.0,0
433,2020-07-01,Vermont,0.0,2373.0,1739.0,122
434,2020-07-01,Virgin Islands,208.0,48.0,4.0,0
435,2020-07-01,Virginia,732.0,44801.0,19538.0,0
436,2020-07-01,Washington,15562.0,33892.0,14006.0,54
437,2020-07-01,West Virginia,4184.0,9331.0,6358.0,418
438,2020-07-01,Wisconsin,17704.0,26890.0,12518.0,52
439,2020-07-01,Wyoming,818.0,3237.0,2950.0,147
440,2020-06-01,Alabama,64643.0,47159.0,20120.0,1732
441,2020-06-01,Alaska,19.0,4785.0,3091.0,234
442,2020-06-01,Arizona,7390.0,43291.0,14267.0,3918
443,2020-06-01,Arkansas,4203.0,15520.0,7820.0,463
